ProductID,ProductName,Category,SubCategory,Brand,PriceUSD,StockQty,Rating,UnitsSold,Description,Revenue,LowStock,SalesLevel,PriceRange
GRN-1001,Adjustable Wrench,Compressed Air,Compressors,3M,284.82,222,3.7,3714,3M Compressors product suitable for industrial use.,1057821.48,False,High,High
GRN-1002,Air Filter 16x25x1,Power Tools,Screwdrivers,Zep,218.78,408,4.8,4515,Zep Screwdrivers product suitable for industrial use.,987791.7,False,High,Medium
GRN-1003,Ladder 6ft Fiberglass,Lighting,Work Lights,Bosch,344.93,300,4.2,1787,Bosch Work Lights product suitable for industrial use.,616389.91,False,Medium,High
GRN-1004,Safety Gloves - Large,Plumbing,Pipe Tools,Zep,44.44,259,4.0,3995,Zep Pipe Tools product suitable for industrial use.,177537.8,False,High,Low
GRN-1005,Safety Gloves - Large,Electrical,Circuit Protection,Grainger,131.55,468,4.3,3213,Grainger Circuit Protection product suitable for industrial use.,422670.15,False,High,Medium
GRN-1006,Pipe Wrench,Safety Equipment,Fire Safety,Werner,49.33,171,3.6,1054,Werner Fire Safety product suitable for industrial use.,51993.82,False,Low,Low
GRN-1007,Portable Air Compressor,Ladders & Scaff.,Step Ladders,Werner,181.92,477,4.8,2041,Werner Step Ladders product suitable for industrial use.,371298.72,False,Medium,Medium
GRN-1008,"Tool Bag 18""",Footwear,Work Boots,Zep,394.78,394,4.8,1508,Zep Work Boots product suitable for industrial use.,595328.24,False,Medium,High
GRN-1009,LED Work Light,Lighting,Work Lights,DeWalt,136.82,403,4.2,3757,DeWalt Work Lights product suitable for industrial use.,514032.74,False,High,Medium
GRN-1010,Oil-Resistant Boots,Ladders & Scaff.,Step Ladders,Eaton,154.12,480,4.0,1805,Eaton Step Ladders product suitable for industrial use.,278186.60000000003,False,Medium,Medium
GRN-1011,Oil-Resistant Boots,Plumbing,Pipe Tools,Bosch,304.29,74,3.5,2644,Bosch Pipe Tools product suitable for industrial use.,804542.76,False,Medium,High
GRN-1012,Adjustable Wrench,Plumbing,Pipe Tools,Werner,56.11,101,3.7,2384,Werner Pipe Tools product suitable for industrial use.,133766.24,False,Medium,Low
GRN-1013,Extension Cord 50ft,Compressed Air,Compressors,Bosch,31.46,98,4.5,2605,Bosch Compressors product suitable for industrial use.,81953.3,False,Medium,Low
GRN-1014,Fire Extinguisher ABC,Compressed Air,Compressors,DeWalt,88.73,324,4.7,3033,DeWalt Compressors product suitable for industrial use.,269118.09,False,High,Low
GRN-1015,LED Work Light,Safety Equipment,Hand Protection,Zep,328.04,78,4.5,809,Zep Hand Protection product suitable for industrial use.,265384.36000000004,False,Low,High
GRN-1016,Oil-Resistant Boots,Footwear,Work Boots,Ansell,196.27,115,4.7,817,Ansell Work Boots product suitable for industrial use.,160352.59,False,Low,Medium
GRN-1017,"Industrial Fan 24""",Footwear,Work Boots,Werner,488.48,271,4.4,4849,Werner Work Boots product suitable for industrial use.,2368639.52,False,High,High
GRN-1018,Heavy Duty Drill,Power Tools,Wrenches,3M,317.27,107,4.8,1059,3M Wrenches product suitable for industrial use.,335988.93,False,Low,High
GRN-1019,LED Work Light,Plumbing,Pipe Tools,Zep,292.51,412,4.9,1374,Zep Pipe Tools product suitable for industrial use.,401908.74,False,Low,High
GRN-1020,Circuit Breaker 20A,HVAC,Ventilation Fans,Kidde,455.94,416,3.8,3345,Kidde Ventilation Fans product suitable for industrial use.,1525119.3,False,High,High
GRN-1021,Heavy Duty Drill,Ladders & Scaff.,Step Ladders,Timberland PRO,406.02,162,4.4,2331,Timberland PRO Step Ladders product suitable for industrial use.,946432.62,False,Medium,High
GRN-1022,Oil-Resistant Boots,Tools Storage,Tool Bags,Timberland PRO,377.48,17,3.9,1341,Timberland PRO Tool Bags product suitable for industrial use.,506200.68000000005,True,Low,High
GRN-1023,Air Filter 16x25x1,HVAC,Ventilation Fans,DeWalt,383.87,432,4.0,1755,DeWalt Ventilation Fans product suitable for industrial use.,673691.85,False,Medium,High
GRN-1024,Portable Air Compressor,Tools Storage,Tool Bags,Milwaukee,57.28,443,4.6,4821,Milwaukee Tool Bags product suitable for industrial use.,276146.88,False,High,Low
GRN-1025,Air Filter 16x25x1,Cleaning Supplies,Surface Cleaners,Kidde,426.45,274,4.0,3016,Kidde Surface Cleaners product suitable for industrial use.,1286173.2,False,High,High
GRN-1026,Extension Cord 50ft,Plumbing,Pipe Tools,Dayton,405.26,32,4.6,4717,Dayton Pipe Tools product suitable for industrial use.,1911611.42,False,High,High
GRN-1027,"Industrial Fan 24""",Electrical,Extension Cords,Ansell,326.25,126,3.7,3450,Ansell Extension Cords product suitable for industrial use.,1125562.5,False,High,High
GRN-1028,Safety Gloves - Large,Tools Storage,Tool Bags,Dayton,228.39,10,4.8,4932,Dayton Tool Bags product suitable for industrial use.,1126419.48,True,High,Medium
GRN-1029,LED Work Light,Lighting,Work Lights,Milwaukee,49.17,414,4.2,3214,Milwaukee Work Lights product suitable for industrial use.,158032.38,False,High,Low
GRN-1030,Adjustable Wrench,HVAC,Ventilation Fans,Bosch,377.62,486,4.4,2139,Bosch Ventilation Fans product suitable for industrial use.,807729.18,False,Medium,High
GRN-1031,Oil-Resistant Boots,Compressed Air,Compressors,Milwaukee,433.94,383,3.8,296,Milwaukee Compressors product suitable for industrial use.,128446.24,False,Low,High
GRN-1032,Heavy Duty Drill,Electrical,Extension Cords,Bosch,38.41,247,4.9,4054,Bosch Extension Cords product suitable for industrial use.,155714.13999999998,False,High,Low
GRN-1033,Ladder 6ft Fiberglass,Tools Storage,Tool Bags,Ansell,85.54,66,4.5,4112,Ansell Tool Bags product suitable for industrial use.,351740.48000000004,False,High,Low
GRN-1034,LED Work Light,Compressed Air,Compressors,Kidde,269.91,307,4.4,857,Kidde Compressors product suitable for industrial use.,231312.87000000002,False,Low,High
GRN-1035,Portable Air Compressor,Lighting,Work Lights,Kidde,212.26,213,4.2,4027,Kidde Work Lights product suitable for industrial use.,854771.02,False,High,Medium
GRN-1036,Adjustable Wrench,Plumbing,Pipe Tools,3M,199.77,107,3.8,4439,3M Pipe Tools product suitable for industrial use.,886779.03,False,High,Medium
GRN-1037,Safety Gloves - Large,Tools Storage,Tool Bags,DeWalt,154.07,130,4.7,3372,DeWalt Tool Bags product suitable for industrial use.,519524.04,False,High,Medium
GRN-1038,"Industrial Fan 24""",Safety Equipment,Fire Safety,Grainger,333.31,289,3.9,4547,Grainger Fire Safety product suitable for industrial use.,1515560.57,False,High,High
GRN-1039,Cordless Screwdriver,Ladders & Scaff.,Step Ladders,Kidde,341.44,138,3.8,4756,Kidde Step Ladders product suitable for industrial use.,1623888.64,False,High,High
GRN-1040,"Tool Bag 18""",Tools Storage,Tool Bags,Kidde,360.22,13,4.3,4058,Kidde Tool Bags product suitable for industrial use.,1461772.76,True,High,High
GRN-1041,Cordless Screwdriver,Plumbing,Pipe Tools,GE,123.05,282,4.1,1046,GE Pipe Tools product suitable for industrial use.,128710.3,False,Low,Medium
GRN-1042,Air Filter 16x25x1,Power Tools,Screwdrivers,Timberland PRO,39.17,144,3.6,674,Timberland PRO Screwdrivers product suitable for industrial use.,26400.58,False,Low,Low
GRN-1043,Heavy Duty Drill,Ladders & Scaff.,Step Ladders,Eaton,256.12,155,4.7,2471,Eaton Step Ladders product suitable for industrial use.,632872.52,False,Medium,High
GRN-1044,Safety Gloves - Large,Plumbing,Pipe Tools,Zep,481.49,309,4.6,3264,Zep Pipe Tools product suitable for industrial use.,1571583.36,False,High,High
GRN-1045,Heavy Duty Drill,Safety Equipment,Hand Protection,3M,185.26,78,4.1,2379,3M Hand Protection product suitable for industrial use.,440733.54,False,Medium,Medium
GRN-1046,Adjustable Wrench,Cleaning Supplies,Surface Cleaners,DeWalt,16.3,467,4.5,2466,DeWalt Surface Cleaners product suitable for industrial use.,40195.8,False,Medium,Low
GRN-1047,Fire Extinguisher ABC,HVAC,Air Filters,Dayton,351.35,20,4.6,1913,Dayton Air Filters product suitable for industrial use.,672132.55,False,Medium,High
GRN-1048,Pipe Wrench,Footwear,Work Boots,GE,112.31,473,4.8,3775,GE Work Boots product suitable for industrial use.,423970.25,False,High,Medium
GRN-1049,LED Work Light,Plumbing,Pipe Tools,Eaton,341.17,48,4.3,2122,Eaton Pipe Tools product suitable for industrial use.,723962.74,False,Medium,High
GRN-1050,"Tool Bag 18""",Electrical,Extension Cords,Grainger,438.26,6,4.5,1482,Grainger Extension Cords product suitable for industrial use.,649501.32,True,Low,High
GRN-1051,LED Work Light,Lighting,Work Lights,Grainger,487.54,272,4.9,2308,Grainger Work Lights product suitable for industrial use.,1125242.32,False,Medium,High
GRN-1052,LED Work Light,Compressed Air,Compressors,DeWalt,445.39,270,4.4,4397,DeWalt Compressors product suitable for industrial use.,1958379.8299999998,False,High,High
GRN-1053,Industrial Cleaner,Tools Storage,Tool Bags,DeWalt,343.15,27,3.8,2479,DeWalt Tool Bags product suitable for industrial use.,850668.85,False,Medium,High
GRN-1054,Heavy Duty Drill,Safety Equipment,Hand Protection,Zep,421.39,386,4.9,1243,Zep Hand Protection product suitable for industrial use.,523787.76999999996,False,Low,High
GRN-1055,Safety Gloves - Large,Ladders & Scaff.,Step Ladders,Timberland PRO,72.3,456,4.0,4991,Timberland PRO Step Ladders product suitable for industrial use.,360849.3,False,High,Low
GRN-1056,Air Filter 16x25x1,Power Tools,Screwdrivers,3M,62.51,80,4.5,2858,3M Screwdrivers product suitable for industrial use.,178653.58,False,Medium,Low
GRN-1057,Portable Air Compressor,Cleaning Supplies,Surface Cleaners,Ansell,472.36,38,4.0,400,Ansell Surface Cleaners product suitable for industrial use.,188944.0,False,Low,High
GRN-1058,Safety Gloves - Large,Footwear,Work Boots,Grainger,345.64,269,3.6,1376,Grainger Work Boots product suitable for industrial use.,475600.63999999996,False,Low,High
GRN-1059,Pipe Wrench,Footwear,Work Boots,Kidde,453.26,181,4.3,329,Kidde Work Boots product suitable for industrial use.,149122.54,False,Low,High
GRN-1060,LED Work Light,HVAC,Air Filters,Dayton,18.1,331,4.1,3422,Dayton Air Filters product suitable for industrial use.,61938.200000000004,False,High,Low
GRN-1061,Heavy Duty Drill,Lighting,Work Lights,Ansell,89.42,400,4.9,4059,Ansell Work Lights product suitable for industrial use.,362955.78,False,High,Low
GRN-1062,Portable Air Compressor,Power Tools,Screwdrivers,Zep,56.15,184,4.0,305,Zep Screwdrivers product suitable for industrial use.,17125.75,False,Low,Low
GRN-1063,Industrial Cleaner,Ladders & Scaff.,Step Ladders,Timberland PRO,37.85,421,3.5,3527,Timberland PRO Step Ladders product suitable for industrial use.,133496.95,False,High,Low
GRN-1064,Fire Extinguisher ABC,HVAC,Ventilation Fans,Timberland PRO,69.77,429,4.9,2663,Timberland PRO Ventilation Fans product suitable for industrial use.,185797.50999999998,False,Medium,Low
GRN-1065,Oil-Resistant Boots,Cleaning Supplies,Surface Cleaners,Milwaukee,246.2,98,4.7,1792,Milwaukee Surface Cleaners product suitable for industrial use.,441190.39999999997,False,Medium,Medium
GRN-1066,Ladder 6ft Fiberglass,HVAC,Air Filters,Eaton,437.81,365,4.9,3892,Eaton Air Filters product suitable for industrial use.,1703956.52,False,High,High
GRN-1067,Industrial Cleaner,Power Tools,Wrenches,Dayton,41.81,289,3.9,172,Dayton Wrenches product suitable for industrial use.,7191.320000000001,False,Low,Low
GRN-1068,"Industrial Fan 24""",Safety Equipment,Hand Protection,Timberland PRO,51.39,111,4.4,4848,Timberland PRO Hand Protection product suitable for industrial use.,249138.72,False,High,Low
GRN-1069,Adjustable Wrench,Ladders & Scaff.,Step Ladders,Dayton,389.59,304,4.1,2728,Dayton Step Ladders product suitable for industrial use.,1062801.52,False,Medium,High
GRN-1070,Ladder 6ft Fiberglass,Tools Storage,Tool Bags,Werner,227.82,385,4.4,949,Werner Tool Bags product suitable for industrial use.,216201.18,False,Low,Medium
GRN-1071,LED Work Light,Plumbing,Pipe Tools,Grainger,417.77,286,4.8,996,Grainger Pipe Tools product suitable for industrial use.,416098.92,False,Low,High
GRN-1072,Safety Gloves - Large,Electrical,Circuit Protection,Ansell,189.32,421,4.7,1648,Ansell Circuit Protection product suitable for industrial use.,311999.36,False,Medium,Medium
GRN-1073,Pipe Wrench,Lighting,Work Lights,Grainger,280.69,351,4.1,1048,Grainger Work Lights product suitable for industrial use.,294163.12,False,Low,High
GRN-1074,Safety Gloves - Large,Safety Equipment,Fire Safety,Eaton,217.25,459,4.3,150,Eaton Fire Safety product suitable for industrial use.,32587.5,False,Low,Medium
GRN-1075,Portable Air Compressor,Power Tools,Wrenches,Timberland PRO,95.19,421,4.2,4016,Timberland PRO Wrenches product suitable for industrial use.,382283.04,False,High,Low
GRN-1076,"Tool Bag 18""",Cleaning Supplies,Surface Cleaners,Timberland PRO,100.67,83,4.7,1525,Timberland PRO Surface Cleaners product suitable for industrial use.,153521.75,False,Medium,Medium
GRN-1077,Industrial Cleaner,Safety Equipment,Hand Protection,Werner,337.38,390,4.7,4962,Werner Hand Protection product suitable for industrial use.,1674079.56,False,High,High
GRN-1078,Oil-Resistant Boots,Cleaning Supplies,Surface Cleaners,Dayton,50.74,380,3.7,595,Dayton Surface Cleaners product suitable for industrial use.,30190.300000000003,False,Low,Low
GRN-1079,LED Work Light,Lighting,Work Lights,DeWalt,146.98,436,4.1,1751,DeWalt Work Lights product suitable for industrial use.,257361.97999999998,False,Medium,Medium
GRN-1080,LED Work Light,HVAC,Air Filters,Grainger,429.86,256,3.5,3988,Grainger Air Filters product suitable for industrial use.,1714281.6800000002,False,High,High
GRN-1081,"Tool Bag 18""",Footwear,Work Boots,Dayton,334.7,486,4.6,2735,Dayton Work Boots product suitable for industrial use.,915404.5,False,Medium,High
GRN-1082,Air Filter 16x25x1,Ladders & Scaff.,Step Ladders,DeWalt,416.96,466,3.5,3879,DeWalt Step Ladders product suitable for industrial use.,1617387.8399999999,False,High,High
GRN-1083,Extension Cord 50ft,Lighting,Work Lights,Ansell,41.5,402,4.8,3726,Ansell Work Lights product suitable for industrial use.,154629.0,False,High,Low
GRN-1084,Air Filter 16x25x1,Electrical,Extension Cords,3M,371.79,425,3.6,3675,3M Extension Cords product suitable for industrial use.,1366328.25,False,High,High
GRN-1085,Adjustable Wrench,Safety Equipment,Fire Safety,Bosch,251.97,270,4.5,4751,Bosch Fire Safety product suitable for industrial use.,1197109.47,False,High,High
GRN-1086,Fire Extinguisher ABC,Lighting,Work Lights,Zep,70.3,206,4.9,2981,Zep Work Lights product suitable for industrial use.,209564.3,False,Medium,Low
GRN-1087,Ladder 6ft Fiberglass,Compressed Air,Compressors,Eaton,334.49,309,4.0,1016,Eaton Compressors product suitable for industrial use.,339841.84,False,Low,High
GRN-1088,"Industrial Fan 24""",Plumbing,Pipe Tools,Milwaukee,164.02,368,4.9,2567,Milwaukee Pipe Tools product suitable for industrial use.,421039.34,False,Medium,Medium
GRN-1089,Adjustable Wrench,Tools Storage,Tool Bags,DeWalt,45.74,437,3.6,1408,DeWalt Tool Bags product suitable for industrial use.,64401.920000000006,False,Low,Low
GRN-1090,"Industrial Fan 24""",Ladders & Scaff.,Step Ladders,Werner,353.19,466,3.8,3079,Werner Step Ladders product suitable for industrial use.,1087472.01,False,High,High
GRN-1091,Safety Gloves - Large,Plumbing,Pipe Tools,Timberland PRO,304.89,13,4.4,194,Timberland PRO Pipe Tools product suitable for industrial use.,59148.659999999996,True,Low,High
GRN-1092,Air Filter 16x25x1,Cleaning Supplies,Surface Cleaners,Werner,232.24,80,3.9,1886,Werner Surface Cleaners product suitable for industrial use.,438004.64,False,Medium,Medium
GRN-1093,Fire Extinguisher ABC,HVAC,Air Filters,Werner,333.01,266,4.4,1522,Werner Air Filters product suitable for industrial use.,506841.22,False,Medium,High
GRN-1094,Adjustable Wrench,HVAC,Ventilation Fans,Dayton,141.07,373,4.0,1016,Dayton Ventilation Fans product suitable for industrial use.,143327.12,False,Low,Medium
GRN-1095,Extension Cord 50ft,Footwear,Work Boots,GE,339.94,431,5.0,1008,GE Work Boots product suitable for industrial use.,342659.52,False,Low,High
GRN-1096,Adjustable Wrench,Lighting,Work Lights,Dayton,141.59,324,3.6,1311,Dayton Work Lights product suitable for industrial use.,185624.49,False,Low,Medium
GRN-1097,LED Work Light,Lighting,Work Lights,DeWalt,447.19,437,4.3,2580,DeWalt Work Lights product suitable for industrial use.,1153750.2,False,Medium,High
GRN-1098,Air Filter 16x25x1,Safety Equipment,Hand Protection,Ansell,361.36,447,4.3,1016,Ansell Hand Protection product suitable for industrial use.,367141.76,False,Low,High
GRN-1099,Oil-Resistant Boots,HVAC,Air Filters,GE,298.16,136,4.7,2033,GE Air Filters product suitable for industrial use.,606159.28,False,Medium,High
GRN-1100,"Tool Bag 18""",Safety Equipment,Hand Protection,Milwaukee,159.24,292,4.0,742,Milwaukee Hand Protection product suitable for industrial use.,118156.08,False,Low,Medium
GRN-1101,"Industrial Fan 24""",HVAC,Air Filters,Werner,468.25,259,3.9,2063,Werner Air Filters product suitable for industrial use.,965999.75,False,Medium,High
GRN-1102,Extension Cord 50ft,Electrical,Circuit Protection,Bosch,132.79,486,3.7,2940,Bosch Circuit Protection product suitable for industrial use.,390402.6,False,Medium,Medium
GRN-1103,Heavy Duty Drill,Compressed Air,Compressors,Milwaukee,192.57,11,4.2,3115,Milwaukee Compressors product suitable for industrial use.,599855.5499999999,True,High,Medium
GRN-1104,Circuit Breaker 20A,Cleaning Supplies,Surface Cleaners,Kidde,199.92,390,4.1,2453,Kidde Surface Cleaners product suitable for industrial use.,490403.75999999995,False,Medium,Medium
GRN-1105,Portable Air Compressor,Electrical,Extension Cords,3M,373.32,264,4.9,4462,3M Extension Cords product suitable for industrial use.,1665753.84,False,High,High
GRN-1106,Heavy Duty Drill,Lighting,Work Lights,Ansell,354.9,7,4.8,2613,Ansell Work Lights product suitable for industrial use.,927353.7,True,Medium,High
GRN-1107,Safety Gloves - Large,Ladders & Scaff.,Step Ladders,Zep,82.58,320,3.8,2091,Zep Step Ladders product suitable for industrial use.,172674.78,False,Medium,Low
GRN-1108,Extension Cord 50ft,Plumbing,Pipe Tools,Timberland PRO,15.0,216,4.9,1578,Timberland PRO Pipe Tools product suitable for industrial use.,23670.0,False,Medium,Low
GRN-1109,LED Work Light,Power Tools,Screwdrivers,Dayton,379.42,360,4.0,3403,Dayton Screwdrivers product suitable for industrial use.,1291166.26,False,High,High
GRN-1110,"Tool Bag 18""",Ladders & Scaff.,Step Ladders,Timberland PRO,364.66,334,3.7,1314,Timberland PRO Step Ladders product suitable for industrial use.,479163.24000000005,False,Low,High
GRN-1111,Adjustable Wrench,Power Tools,Screwdrivers,Werner,424.33,464,3.8,298,Werner Screwdrivers product suitable for industrial use.,126450.34,False,Low,High
GRN-1112,Heavy Duty Drill,Lighting,Work Lights,Ansell,126.69,186,4.3,1570,Ansell Work Lights product suitable for industrial use.,198903.3,False,Medium,Medium
GRN-1113,Industrial Cleaner,Footwear,Work Boots,Zep,62.12,458,4.7,618,Zep Work Boots product suitable for industrial use.,38390.159999999996,False,Low,Low
GRN-1114,Heavy Duty Drill,Plumbing,Pipe Tools,Eaton,455.5,164,4.4,3522,Eaton Pipe Tools product suitable for industrial use.,1604271.0,False,High,High
GRN-1115,Circuit Breaker 20A,Safety Equipment,Fire Safety,Ansell,217.05,318,4.2,3245,Ansell Fire Safety product suitable for industrial use.,704327.25,False,High,Medium
GRN-1116,Extension Cord 50ft,HVAC,Air Filters,DeWalt,499.52,7,4.5,4404,DeWalt Air Filters product suitable for industrial use.,2199886.08,True,High,High
GRN-1117,Portable Air Compressor,Plumbing,Pipe Tools,Milwaukee,462.87,108,4.8,4886,Milwaukee Pipe Tools product suitable for industrial use.,2261582.82,False,High,High
GRN-1118,Industrial Cleaner,Safety Equipment,Hand Protection,Milwaukee,138.03,352,4.7,4264,Milwaukee Hand Protection product suitable for industrial use.,588559.92,False,High,Medium
GRN-1119,Ladder 6ft Fiberglass,Compressed Air,Compressors,GE,153.57,202,3.8,294,GE Compressors product suitable for industrial use.,45149.579999999994,False,Low,Medium
GRN-1120,"Tool Bag 18""",Compressed Air,Compressors,Werner,454.06,84,4.9,972,Werner Compressors product suitable for industrial use.,441346.32,False,Low,High
GRN-1121,"Industrial Fan 24""",Power Tools,Drills,3M,337.0,315,4.3,810,3M Drills product suitable for industrial use.,272970.0,False,Low,High
GRN-1122,Industrial Cleaner,Compressed Air,Compressors,GE,12.84,209,3.7,1260,GE Compressors product suitable for industrial use.,16178.4,False,Low,Low
GRN-1123,Portable Air Compressor,Power Tools,Wrenches,Bosch,179.36,296,4.7,935,Bosch Wrenches product suitable for industrial use.,167701.6,False,Low,Medium
GRN-1124,Adjustable Wrench,Lighting,Work Lights,Grainger,198.24,120,4.8,852,Grainger Work Lights product suitable for industrial use.,168900.48,False,Low,Medium
